GENENAME	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	ER.ERR1084763	ER.ERR1084764	ER.ERR1084765	ER.ERR1084775	ER.ERR1084805	ER.ERR1084806	ER.ERR1084811	TN.ERR1084766	TN.ERR1084768	TN.ERR1084798	TN.ERR1084799	TN.ERR1084800	TN.ERR1084801	TN.ERR1084802	SYMBOL	GENENAME.1
ENSG00000005073	77.5949114643208	8.13517678586509	1.90504870847771	4.27032482144026	1.95188482265814e-05	0.00029661454211597	0	0	0	0	2	0	2	73	776	4	3	204	0	0	HOXA11	homeobox A11 
ENSG00000005102	8.01150572431889	5.99071621732614	1.72007772552917	3.48281715902293	0.000496167112017171	0.00405491336137674	0	0	0	0	1	0	0	14	1	7	45	30	0	0	MEOX1	mesenchyme homeobox 1 
ENSG00000007908	7.09829947890658	5.4025527563745	1.23736580462495	4.36617266792177	1.26442539602812e-05	0.000227912677634069	0	0	2	0	0	0	0	3	7	5	9	54	32	2	SELE	selectin E 
ENSG00000010610	93.2695128005363	4.66688960676624	1.06264508779061	4.39176697882204	1.12433164143507e-05	0.000213327135124917	3	4	9	1	26	0	10	327	56	27	69	183	28	16	CD4	CD4 molecule 
ENSG00000022267	7.8166019292239	5.93713808588621	1.36822346701987	4.3393043819208	1.42934434703525e-05	0.000234217562321004	0	0	0	1	0	0	0	18	0	18	10	29	9	4	FHL1	four and a half LIM domains 1 
ENSG00000058866	7.25700899496567	4.74053230984373	1.40379315466328	3.37694502505308	0.000732956978257021	0.00539246919717665	0	0	0	4	0	0	0	8	20	6	52	2	1	4	DGKG	diacylglycerol kinase gamma 
ENSG00000067842	8.53510852799358	4.27537438206106	1.29235573545583	3.3082024281442	0.0009389691225439	0.00638676167315237	0	0	1	3	0	2	0	23	1	25	8	24	1	1	ATP2B3	ATPase plasma membrane Ca2+ transporting 3 
ENSG00000078399	34.5624075122364	8.11708519797447	1.91226257542125	4.24475451347802	2.18832860279711e-05	0.000315556984523343	0	0	0	0	1	0	0	20	342	20	1	123	0	0	HOXA9	homeobox A9 
ENSG00000080573	5.23040222822466	4.22214070804405	1.13304111502602	3.72637908020405	0.000194250194686016	0.00205962338777379	0	0	0	1	2	0	1	364	17	13	3	1	34	13	COL5A3	collagen type V alpha 3 chain 
ENSG00000089225	33.9979276831361	7.67648785249045	1.80230708900911	4.25925631614249	2.05108167350969e-05	0.000301802017673568	0	0	0	0	2	0	0	66	0	282	32	40	0	17	TBX5	T-box transcription factor 5 
ENSG00000101425	71.4498657398737	9.16603642218748	1.58593267682021	5.77958734072202	7.4884071222596e-09	4.49928461262431e-07	0	1	0	0	0	0	0	0	678	194	50	2	129	101	BPI	bactericidal permeability increasing protein 
ENSG00000102466	7.9824019128168	5.99640715573532	1.61316427657692	3.71717080696796	0.000201466241786847	0.00207510229040452	0	0	0	0	0	0	1	1	91	8	3	20	1	0	FGF14	fibroblast growth factor 14 
ENSG00000102837	364.569487630717	10.648987899737	1.75127071371802	6.08072059694802	1.19643620992376e-09	1.33101721633818e-07	1	1	1	0	0	0	0	0	1388	1051	6	19	4186	1	OLFM4	olfactomedin 4 
